level,name,uniqueName,attachTo,contentFunction,dataCode,contentSource
0,TITLES,TITLES,main,tabsAndPanels,,
0,BROWSE,BROWSE,main,tabsAndPanels,,
0,INDEX,INDEX,main,tabsAndPanels,,
0,SEARCH,SEARCH,main,tabsAndPanels,,
1,Titles,titles,BROWSE,tabsAndPanels,,
1,Anatomy by Region,regions,BROWSE,tabsAndPanels,,
1,Anatomy by System,systems,BROWSE,tabsAndPanels,,
1,Media Type,media,BROWSE,tabsAndPanels,,
1,A,A,INDEX,toCome,,
1,B,B,INDEX,toCome,,
1,C,C,INDEX,toCome,,
1,D,D,INDEX,toCome,,
1,E,E,INDEX,toCome,,
1,F,F,INDEX,toCome,,
1,G,G,INDEX,toCome,,
1,H,H,INDEX,toCome,,
1,I,I,INDEX,toCome,,
1,J,J,INDEX,toCome,,
1,K,K,INDEX,toCome,,
1,L,L,INDEX,toCome,,
1,M,M,INDEX,toCome,,
1,N,N,INDEX,toCome,,
1,O,O,INDEX,toCome,,
1,P,P,INDEX,toCome,,
1,Q,Q,INDEX,toCome,,
1,R,R,INDEX,toCome,,
1,S,S,INDEX,toCome,,
1,T,T,INDEX,toCome,,
1,U,U,INDEX,toCome,,
1,V,V,INDEX,toCome,,
1,W,W,INDEX,toCome,,
1,X,X,INDEX,toCome,,
1,Y,Y,INDEX,toCome,,
1,Z,Z,INDEX,toCome,,
1,0,0,INDEX,toCome,,
1,1,1,INDEX,toCome,,
1,2,2,INDEX,toCome,,
1,3,3,INDEX,toCome,,
1,4,4,INDEX,toCome,,
1,5,5,INDEX,toCome,,
1,6,6,INDEX,toCome,,
1,7,7,INDEX,toCome,,
1,8,8,INDEX,toCome,,
1,9,9,INDEX,toCome,,
2,English,rt_english,#REF!,makeModules,,titles.json
2,Spanish,rt_spanish,#REF!,makeModules,,titles.json
2,German,rt_german,#REF!,makeModules,,titles.json
2,Chinese,rt_chinese,#REF!,makeModules,,titles.json
2,Portuguese,rt_portuguese,#REF!,makeModules,,titles.json
2,Latin,rt_latin,#REF!,makeModules,,titles.json
2,Japanese,rt_japanese,#REF!,makeModules,,titles.json
2,Head and Neck,regions_head,regions,tabsAndPanels,,
2,Brain,regions_brain,regions,tabsAndPanels,,
2,Spine,regions_spine,regions,tabsAndPanels,,
2,Upper Limb,regions_upperlimb,regions,tabsAndPanels,,
2,Thorax,regions_thorax,regions,tabsAndPanels,,
2,Abdomen,regions_abdomen,regions,tabsAndPanels,,
2,Male Pelvis,regions_malepelvis,regions,tabsAndPanels,,
2,Female Pelvis,regions_femalepelvis,regions,tabsAndPanels,,
2,Lower Limb,regions_lowerlimb,regions,browseUsePaulData,,regions_lowerlimb.json
2,Cardiovascular,systems_cardio,systems,tabsAndPanels,,
2,Digestive,systems_digestive,systems,tabsAndPanels,,
2,Endocrine,systems_endocrine,systems,tabsAndPanels,,
2,Integumentary,systems_integumentary,systems,tabsAndPanels,,
